"Term","Overlap","Adjusted.P.value","Genes"
"4-Hydroxytamoxifen TTD 00000995","4/39",0.00803241652359831,"HNF4A;RORA;ESR1;ESR2"
"tcpobop CTD 00001345","3/14",0.00803241652359831,"NR1I3;HNF4A;ESR1"
"Alitretinoin TTD 00001891","3/18",0.00962531385115459,"NR1I3;NR2C2;ESR1"
"DIETHYL PHTHALATE CTD 00000348","3/20",0.00962531385115459,"NR1I3;ESR1;ESR2"
"liothyronine TTD 00008994","3/21",0.00962531385115459,"HNF4A;RORA;ESR1"
"1,3,5-Tris(4-hydroxyphenyl)-4-propyl-1H-pyrazole CTD 00003875","3/21",0.00962531385115459,"HNF4A;ESR1;ESR2"
"liothyronine","3/24",0.0124681541358067,"HNF4A;RORA;ESR1"
"4-OCTYLPHENOL CTD 00002947","3/27",0.0156567482381687,"NR1I3;ESR1;ESR2"
"fenvalerate CTD 00000912","3/31",0.0196511361234881,"NR1I3;ESR1;ESR2"
"GNF-Pf-3037 TTD 00008263","3/33",0.0196511361234881,"NR2E3;ESR1;ESR2"
"trichostatin A ssMCF7 DOWN","5/161",0.0196511361234881,"ZFHX3;REST;TRPS1;ESR1;GTF2I"
"1,2-Benzisothiazol-3(2H)-one CTD 00000812","3/34",0.0196511361234881,"HNF4A;NR2E3;ESR1"
"Fenbuconazole CTD 00004512","3/35",0.0196511361234881,"POU2F1;ESR1;ESR2"
"progesterone TTD 00010337","3/35",0.0196511361234881,"HNF4A;RORA;ESR1"
"ethinyl estradiol","3/37",0.020318574476922,"NR1I3;ESR1;ESR2"
"progesterone","3/37",0.020318574476922,"HNF4A;RORA;ESR1"
"ethinyl estradiol BOSS","3/39",0.0223886828632856,"NR1I3;ESR1;ESR2"
"Retinoic acid TTD 00010557","3/42",0.0244450410278678,"NR1I3;HNF4A;ESR1"
"dibutyl phthalate CTD 00005795","3/44",0.0244450410278678,"NR1I3;ESR1;ESR2"
"dexamethasone CTD 00005779","7/421",0.0244450410278678,"HNF4A;NR1I3;RORA;HNF1A;NR2C2;RREB1;ESR1"
"Retinoic acid","3/46",0.0244450410278678,"NR1I3;HNF4A;ESR1"
"DEHP CTD 00005816","3/46",0.0244450410278678,"NR1I3;ESR1;ESR2"
"estriol CTD 00005924","3/49",0.0244450410278678,"HNF4A;ESR1;ESR2"
"PROFENOFOS CTD 00001129","2/11",0.0244450410278678,"NR1I3;ESR1"
"TRIPHENYL PHOSPHATE CTD 00000228","2/11",0.0244450410278678,"NR1I3;ESR1"
"PHENTHOATE CTD 00000434","2/11",0.0244450410278678,"NR1I3;ESR1"
"1,3,5[10]-Estratriene-2,3-diol-17-one CTD 00001165","2/11",0.0244450410278678,"ESR1;ESR2"
"2-Ethylhexyl 2-cyano-3,3-diphenylacrylate CTD 00003128","2/11",0.0244450410278678,"ESR1;ESR2"
"Tonalid CTD 00001589","2/11",0.0244450410278678,"ESR1;ESR2"
"propyl gallate CTD 00006637","2/11",0.0244450410278678,"ESR1;ESR2"
"methoxychlor CTD 00006302","3/50",0.0244450410278678,"NR1I3;ESR1;ESR2"
"Alitretinoin CTD 00003402","5/212",0.0244450410278678,"NR1I3;NR2C2;MEOX1;ESR1;ESR2"
"4-Cumylphenol CTD 00004651","2/12",0.0244450410278678,"NR1I3;ESR1"
"Enzacamene CTD 00001812","2/12",0.0244450410278678,"ESR1;ESR2"
"Propyl 4-hydroxybenzoate CTD 00000273","2/12",0.0244450410278678,"ESR1;ESR2"
"Cerebrosterol CTD 00001995","2/12",0.0244450410278678,"ESR1;ESR2"
"678-39-7 CTD 00001619","2/12",0.0244450410278678,"ESR1;ESR2"
"dioxybenzone CTD 00000176","2/12",0.0244450410278678,"ESR1;ESR2"
"diarylpropionitrile CTD 00004308","2/13",0.0254768692960149,"ESR1;ESR2"
"4-tert-Butylphenol CTD 00000316","2/13",0.0254768692960149,"NR1I3;ESR1"
"CYHALOTHRIN CTD 00001754","2/13",0.0254768692960149,"ESR1;ESR2"
"oxybenzone CTD 00000215","2/13",0.0254768692960149,"ESR1;ESR2"
