"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000248483",133.009599426475,6.39569478566361,0.112678109383515,56.7607569975729,0,0,"POU5F2"
"ENSG00000283463",3.15280797513715,3.3454162550103,0.203405012531066,16.4470688965905,8.80263563134574e-61,4.96394237673848e-60,"HSFX4"
"ENSG00000274529",0.925293130238292,2.80448150732801,0.275063465813118,10.1957615455679,2.07114876819487e-24,6.38340380607767e-24,"SEBOX"
"ENSG00000178919",10.4530520229787,2.75067646515571,0.208157464695757,13.2144022275449,7.24596667748633e-40,2.97937884682844e-39,"FOXE1"
"ENSG00000164532",10.7804447698101,2.67549042492746,0.292050347671584,9.16105885939948,5.13905550639589e-20,1.43146249301499e-19,"TBX20"
"ENSG00000119725",86.7951573218968,2.54662847749852,0.0861791261744353,29.5504096008572,6.48799269043199e-192,1.63446218862672e-190,"ZNF410"
"ENSG00000162924",563.318944892968,2.45527650862905,0.0699453085412945,35.1028047460752,6.10826204640931e-270,3.40197846933662e-268,"REL"
"ENSG00000174197",5532.69599239296,2.42275729874257,0.0477901652976388,50.6957296266619,0,0,"MGA"
"ENSG00000101076",7.70072849020984,2.38621855768665,0.170533384997508,13.9926769044168,1.72783882585871e-44,7.67079774738066e-44,"HNF4A"
"ENSG00000176302",7.95777000703837,2.36146420849678,0.196258790582235,12.0323996774417,2.40079763823091e-33,8.82854854500354e-33,"FOXR1"
"ENSG00000249709",36.0082728501768,2.34254157090417,0.0852332901880256,27.483880602714,2.73619537704295e-166,5.24118224472577e-165,"ZNF564"
"ENSG00000176160",10.4544772708441,2.29103909952041,0.109586023858545,20.9063073816577,4.69168876380464e-97,4.14826962014339e-96,"HSF5"
"ENSG00000269699",37.6863245460954,2.17165925952206,0.122859008073502,17.6760279410919,6.41602342474145e-70,4.08884268491662e-69,"ZIM2"
"ENSG00000167232",2911.53641924085,2.150186490387,0.0717876937629657,29.952020711052,4.14122340811709e-197,1.10228474576155e-195,"ZNF91"
"ENSG00000083307",15.1711355262721,2.11971955819603,0.139608007531172,15.1833665968103,4.5577572474908e-52,2.26994848372107e-51,"GRHL2"
"ENSG00000140009",200.427721653529,2.07543142579649,0.151966220965299,13.6571891609413,1.82908756372944e-42,7.85438610032543e-42,"ESR2"
"ENSG00000102908",2698.75214431471,1.96658009557914,0.0647911486200914,30.3526042902921,2.32132697096227e-202,6.49462966930571e-201,"NFAT5"
"ENSG00000184659",6.88447271695928,1.88132906281983,0.158896714323604,11.8399494339976,2.42599186374365e-32,8.76140647902678e-32,"FOXD4L4"
"ENSG00000169856",74.9839766188988,1.86277375414955,0.167568594524224,11.1164849203308,1.04300813857948e-28,3.51408370529378e-28,"ONECUT1"
"ENSG00000104447",4133.89501537577,1.84351620065501,0.0661562445046867,27.8660950974085,6.87531294619979e-171,1.38889090228429e-169,"TRPS1"
"ENSG00000283697",0.583286151669886,1.8006522359217,0.282568053244092,6.37245511390573,1.86025874351823e-10,3.93070627781809e-10,"HSFX3"
"ENSG00000268480",0.952336443578019,1.78489250101034,0.283947323729861,6.28599867596722,3.25752719640885e-10,6.82424082697416e-10,"NFILZ"
"ENSG00000159915",183.53266071263,1.75933373449612,0.0959734615145489,18.3314606635233,4.64268495477004e-75,3.1563666480433e-74,"ZNF233"
"ENSG00000111704",3.92676331662567,1.7173035104262,0.159097585442417,10.7940262301954,3.67335754151912e-27,1.20022454085797e-26,"NANOG"
"ENSG00000030419",802.041846523022,1.71001089355492,0.0674596643393205,25.3486421894068,9.30159584833884e-142,1.34978839753735e-140,"IKZF2"
"ENSG00000167800",3.24556615316035,1.56915852239833,0.193027234918713,8.12920789679822,4.32104676336893e-16,1.08994507880605e-15,"TBX10"
"ENSG00000178662",1695.00134912725,1.55228467289735,0.0988196271150723,15.7082628038028,1.32767502131473e-55,6.94175493207199e-55,"CSRNP3"
"ENSG00000162599",13220.8344181499,1.52634877515621,0.081004216827098,18.842831088833,3.3647707046799e-79,2.40717769740965e-78,"NFIA"
"ENSG00000091831",136.744287547077,1.52120644497531,0.0774524299332849,19.6405257560755,6.96731427388502e-86,5.40163246264165e-85,"ESR1"
"ENSG00000278570",17.2148664563279,1.51368895903778,0.120412595814432,12.5708523165677,3.05413450051606e-36,1.1818575021694e-35,"NR2E3"
"ENSG00000134532",1964.74562415042,1.50432267949442,0.0837041323011982,17.9719045898632,3.23418154453562e-72,2.11719874233643e-71,"SOX5"
"ENSG00000166268",80.0365738437055,1.44049073374904,0.143056743484091,10.0693661736347,7.54628180157605e-24,2.29442901443158e-23,"MYRFL"
"ENSG00000204779",2.63312687908712,1.42489418045539,0.22002826085994,6.47595983755204,9.42111064397219e-11,2.01119188138356e-10,"FOXD4L5"
"ENSG00000196724",673.218663955632,1.39342656718767,0.0753268539144436,18.49840388622,2.12679637417222e-76,1.47109358695322e-75,"ZNF418"
"ENSG00000186487",604.156707494803,1.33511143282692,0.212032962603639,6.29671639933969,3.04016758969393e-10,6.37636276027077e-10,"MYT1L"
"ENSG00000115112",1103.63640687192,1.3291424494973,0.184749673003538,7.19428850881835,6.27873062921312e-13,1.44263136086714e-12,"TFCP2L1"
"ENSG00000156273",3302.49806649037,1.32775768326019,0.0506755703026214,26.2011394313111,2.57912357724762e-151,4.17029586801624e-150,"BACH1"
"ENSG00000161298",747.69815170099,1.30996657581959,0.0589693890602635,22.214348778158,2.49573499418708e-109,2.53900323744745e-108,"ZNF382"
"ENSG00000124782",1644.50167254559,1.30383379777211,0.0690226976284042,18.8899281333732,1.38033549698281e-79,9.91999384231223e-79,"RREB1"
"ENSG00000069667",1874.54785134223,1.30346861746542,0.0790591458199884,16.4872590507532,4.5304006264989e-61,2.56203613666852e-60,"RORA"
"ENSG00000240445",407.435287671335,1.28521834754252,0.079605413583906,16.1448611304289,1.23425978976396e-58,6.74941777775286e-58,"FOXO3B"
"ENSG00000135100",6.69348196131404,1.26549412323637,0.129104191562798,9.80211492684823,1.10252611587269e-22,3.26755184277593e-22,"HNF1A"
"ENSG00000084093",2239.13411878866,1.20648297951361,0.0508956396411421,23.7050361881755,3.19929533549588e-124,3.83186703939227e-123,"REST"
"ENSG00000164684",3801.84014843451,1.20560546698105,0.093263634168259,12.9268549068761,3.17544902653178e-38,1.27032172066089e-37,"ZNF704"
"ENSG00000263002",907.61812211438,1.19392520777237,0.0482874389952589,24.725378537669,5.70626671803982e-135,7.72853305947847e-134,"ZNF234"
"ENSG00000143257",58.5579168672574,1.19018906303903,0.0710736372747121,16.745858361501,6.07084389782634e-63,3.52270519978382e-62,"NR1I3"
"ENSG00000143190",2136.10358104307,1.17128449912133,0.0593406827969888,19.7383050533549,1.0111333427665e-86,7.92505125031983e-86,"POU2F1"
"ENSG00000171116",4.30129115044835,1.16883247250694,0.179092407830668,6.52642111781799,6.73597655181018e-11,1.444531652858e-10,"HSFX1"
"ENSG00000140836",1752.79088040721,1.14687223241495,0.0636548846353306,18.0170341833971,1.43218334125942e-72,9.43657510136459e-72,"ZFHX3"
"ENSG00000072736",1083.31106281184,1.14419038881639,0.0457505144083335,25.0093447825359,4.83773310557889e-138,6.74992136796613e-137,"NFATC3"
